cmeec5sfq0000rehv06pa15wu,Food & Drinks,food-drinks,"{brunch,'"happy hour'",'"wine tasting'",'"food tours'",'"cooking classes'",'"cocktail workshops'",'"craft beer'",'"coffee culture'"}"
cmeec5sjf0001rehvhj7x8um0,Nightlife & Parties,nightlife-parties,"{'"rooftop parties'",'"club nights'",'"themed parties'",'"bar crawls'",karaoke,'"dance parties'",'"social mixers'",'"birthday parties'"}"
cmeec5slw0002rehvnead4gem,Music & Concerts,music-concerts,"{'"live music'",'"indie concerts'",'"open mic nights'",'"music festivals'",'"DJ sets'",'"acoustic sessions'",'"band performances'",'"music venues'"}"
cmeec5soc0003rehvsc17xuhs,Arts & Culture,arts-culture,"{'"art galleries'",'"museum visits'",'"theater shows'",'"poetry readings'",'"cultural festivals'",'"art workshops'",exhibitions,'"street art tours'"}"
cmeec5sqr0004rehv61p2kd4e,Sports & Fitness,sports-fitness,"{'"yoga classes'",'"running groups'",'"gym workouts'",'"rock climbing'",cycling,swimming,'"group fitness'",'"sports leagues'"}"
cmeec5st70005rehv6206zm8z,Gaming & Esports,gaming-esports,"{'"board game nights'",'"video game tournaments'",'"escape rooms'",'"trivia nights'",'"LAN parties'",'"retro gaming'",'"tabletop RPGs'",'"gaming cafes'"}"
cmeec5svm0006rehv77xhx5tw,Travel & Adventure,travel-adventure,"{'"weekend trips'",hiking,'"city exploration'",'"adventure sports'",'"travel planning'",backpacking,'"local tours'",'"road trips'"}"
cmeec5sy00007rehvlfkobh9a,Tech & Startups,tech-startups,"{'"startup meetups'",'"tech talks'",hackathons,'"product launches'",'"coding bootcamps'",'"innovation workshops'",'"pitch events'",'"co-working sessions'"}"
cmeec5t0f0008rehvcq9bsf3u,Wellness & Self-Care,wellness-self-care,"{meditation,'"spa days'",'"mental health'",mindfulness,'"therapy groups'",'"wellness retreats'",self-improvement,'"holistic healing'"}"
cmeec5t2t0009rehvis7temsf,Photography & Film,photography-film,"{'"photo walks'",'"film screenings'",'"camera workshops'",'"editing classes'",'"portrait sessions'",'"documentary nights'",'"photo exhibitions'",filmmaking}"
cmeec5t56000arehvahxda4ho,Books & Writing,books-writing,"{'"book clubs'",'"author readings'",'"writing workshops'",'"poetry slams'",'"literary events'",storytelling,'"journaling circles'",'"book launches'"}"
cmeec5t7o000brehvboh944v1,Comedy & Entertainment,comedy-entertainment,"{'"stand-up comedy'",'"improv shows'",'"comedy clubs'",'"sketch comedy'",'"open mics'",'"comedy workshops'",'"variety shows'",'"entertainment venues'"}"
cmeec5ta8000crehv4eccrszk,Fashion & Style,fashion-style,"{'"fashion shows'",'"styling workshops'",'"thrift shopping'",'"fashion swaps'",'"beauty tutorials'",'"sustainable fashion'",'"personal styling'",'"trend discussions'"}"
cmeec5tco000drehvtxd17hs8,Networking & Career,networking-career,"{'"professional mixers'",'"career workshops'",'"industry meetups'",mentorship,'"job fairs'",'"skill building'",'"leadership training'",'"business networking'"}"
cmeec5tf5000erehvp3bapyzs,Outdoor & Nature,outdoor-nature,"{'"park hangouts'",'"beach days'",'"nature walks'",camping,gardening,'"outdoor sports'",'"environmental activities'",picnics}"
cmeec5thl000frehvfb9p8d3i,Crafts & DIY,crafts-diy,"{'"craft workshops'",'"pottery classes'",'"knitting circles'",woodworking,'"jewelry making'",'"painting nights'",'"upcycling projects'",'"maker spaces'"}"
cmeec5tk2000grehvxysbuoyk,Dating & Social,dating-social,"{'"speed dating'",'"singles events'",'"social mixers'",'"blind date events'",'"relationship workshops'",'"social clubs'",'"friendship meetups'",'"dating apps events'"}"
cmeec5tmh000hrehvu7pern1g,Learning & Skills,learning-skills,"{workshops,'"online courses'",'"skill shares'",'"language exchange'",'"professional development'",tutorials,masterclasses,'"educational talks'"}"
cmeec5toy000irehvjxjw00we,Volunteering & Impact,volunteering-impact,"{'"community service'",'"charity events'",'"environmental cleanup'",'"food drives'",'"social causes'",'"nonprofit events'",activism,'"giving back'"}"
cmeec5trh000jrehv5ext5ivv,Pets & Animals,pets-animals,"{'"dog parks'",'"pet adoption'",'"animal welfare'",'"pet training'",'"vet talks'",'"pet-friendly events'",'"animal rescue'",'"pet care workshops'"}"
